task_id,code_of_stage,date_time_send,next_stage
317384,stage1,2023-08-27 - 13:05,stage2
317384,stage2,2023-09-12 - 13:21,stage3
317384,stage3,2023-10-01 - 10:40,Rejected
317384,stage1,2023-10-06 - 10:45,stage2
317384,stage2,2023-10-12 - 11:51,stage3
317384,stage3,2023-09-22 - 13:31,Rejected
317384,stage1,2023-10-04 - 13:43,stage2
317384,stage2,2023-10-09 - 13:48,stage3
317384,stage3,2023-08-23 - 12:01,Rejected
317384,stage1,2023-08-28 - 12:06,stage2
317384,stage2,2023-08-31 - 12:09,stage3
317384,stage3,2023-09-08 - 12:17,Rejected
317384,stage1,2023-09-14 - 13:23,stage2
317384,stage2,2023-09-30 - 13:39,stage3
317384,stage3,2023-09-10 - 14:19,stage4
317430,stage1,2023-09-25 - 13:34,stage2
317430,stage2,2023-09-30 - 11:39,stage3
317430,stage3,2023-09-10 - 13:19,Rejected
317609,stage1,2023-05-30 - 10:09,stage2
317609,stage2,2023-06-03 - 10:13,stage3
317609,stage3,2023-06-04 - 13:14,stage4
317609,stage4,2023-06-26 - 08:05,Rejected
317609,stage1,2023-08-15 - 13:55,stage2
317609,stage2,2023-08-16 - 13:56,stage3
317609,stage3,2023-08-20 - 08:29,Rejected
317609,stage1,2023-09-06 - 08:46,stage2
317609,stage2,2023-09-14 - 09:54,Rejected
317609,stage1,2023-09-19 - 09:59,stage2
317609,stage2,2023-07-30 - 10:08,Rejected
317609,stage1,2023-08-14 - 14:23,stage2
317609,stage2,2023-08-26 - 14:35,stage3
317609,stage3,2023-07-25 - 17:03,stage4
317609,stage4,2023-09-09 - 00:18,stage5
317609,stage5,2023-09-30 - 17:39,stage6
317609,stage6,2023-11-11 - 12:50,Rejected
317609,stage1,2023-11-01 - 14:40,stage2
317609,stage2,2023-11-17 - 14:56,stage3
317609,stage3,2023-09-23 - 15:01,stage4
317609,stage4,2023-10-14 - 05:22,stage5
317609,stage5,2023-10-15 - 15:23,stage6
317609,stage6,2023-10-29 - 08:37,stage7
317609,stage7,2023-11-19 - 08:58,stage8
317790,stage1,2023-08-17 - 16:26,stage2
317790,stage2,2023-08-22 - 09:00,Rejected
318159,stage1,2023-09-26 - 23:04,stage2
318159,stage2,2023-10-13 - 13:21,stage3
318194,stage1,2023-10-01 - 01:40,stage2
318194,stage2,2023-09-07 - 07:16,stage3
318194,stage3,2023-09-18 - 08:27,Rejected
318194,stage1,2023-10-05 - 14:44,stage2
318194,stage2,2023-10-19 - 14:58,Rejected
318194,stage1,2023-08-23 - 15:01,stage2
318194,stage2,2023-08-27 - 15:05,Rejected
318194,stage1,2023-08-23 - 11:01,stage2
318194,stage2,2023-08-23 - 14:01,stage3
318194,stage3,2023-11-01 - 11:40,stage4
318355,stage1,2023-07-09 - 12:49,stage2
318355,stage2,2023-07-07 - 07:47,stage3
318355,stage3,2023-08-25 - 12:34,Rejected
318355,stage1,2023-08-31 - 14:40,stage2
318355,stage2,2023-07-27 - 08:05,Rejected
318355,stage1,2023-07-25 - 21:03,stage2
318355,stage2,2023-08-17 - 10:26,Rejected
318355,stage1,2023-09-11 - 09:51,stage2
318355,stage2,2023-09-16 - 09:56,Rejected
318355,stage1,2023-08-08 - 23:17,stage2
318355,stage2,2023-09-19 - 22:28,stage3
318355,stage3,2023-10-09 - 10:17,Rejected
318355,stage1,2023-10-21 - 10:29,stage2
318355,stage2,2023-11-03 - 13:42,stage3
318355,stage3,2023-11-10 - 11:49,stage4
318362,stage1,2023-09-06 - 12:15,stage2
318362,stage2,2023-08-30 - 14:08,stage3
318362,stage3,2023-09-22 - 15:31,stage4
318362,stage4,2023-11-10 - 09:49,Rejected
318362,stage1,2023-09-25 - 17:03,stage2
318362,stage2,2023-10-05 - 17:13,stage3
318362,stage3,2023-11-11 - 11:50,stage4
318440,stage1,2023-07-17 - 09:26,stage2
318440,stage2,2023-09-24 - 11:33,Rejected
318440,stage1,2023-08-22 - 10:00,stage2
318440,stage2,2023-08-26 - 10:04,stage3
318440,stage3,2023-11-09 - 17:48,Rejected
318440,stage1,2023-03-29 - 13:38,stage2
318440,stage2,2023-07-03 - 08:43,stage3
318440,stage3,2023-10-27 - 10:35,Rejected
318452,stage1,2023-07-01 - 12:41,stage2
318452,stage2,2023-06-27 - 13:37,stage3
318452,stage3,2023-09-20 - 10:29,Rejected
318452,stage1,2023-09-22 - 10:31,stage2
318452,stage2,2023-10-02 - 10:41,stage3
318452,stage3,2023-10-16 - 20:24,stage4
318458,stage1,2023-09-16 - 10:56,stage2
318458,stage2,2023-09-03 - 09:12,Rejected
318458,stage1,2023-10-06 - 16:45,stage2
318458,stage2,2023-11-17 - 09:56,stage3
318458,stage3,2023-10-05 - 12:13,Rejected
318458,stage1,2023-11-08 - 14:47,stage2
318458,stage2,2023-11-03 - 09:42,stage3
318506,stage1,2023-10-13 - 18:21,stage2
318506,stage2,2023-11-13 - 11:52,stage3
318506,stage3,2023-11-02 - 15:41,Rejected
318506,stage1,2023-10-27 - 09:35,stage2
318506,stage2,2023-10-29 - 09:37,stage3
318506,stage3,2023-11-06 - 13:45,stage4
318725,stage1,2023-05-12 - 23:22,stage2
318725,stage2,2023-07-13 - 12:22,Rejected
318725,stage1,2023-07-30 - 13:39,stage2
318725,stage2,2023-07-13 - 07:22,Rejected
318725,stage1,2023-08-23 - 09:32,stage2
318725,stage2,2023-08-29 - 07:38,Rejected
318725,stage1,2023-08-26 - 23:35,stage2
318725,stage2,2023-08-21 - 10:30,stage3
318737,stage1,2023-07-11 - 13:51,stage2
318737,stage2,2023-07-19 - 07:59,stage3
318737,stage3,2023-07-17 - 08:57,stage4
318737,stage4,2023-08-15 - 07:55,Rejected
318737,stage1,2023-07-19 - 10:28,stage2
318737,stage2,2023-08-09 - 07:49,stage3
318737,stage3,2023-09-04 - 11:44,Rejected
318737,stage1,2023-07-25 - 14:03,stage2
318737,stage2,2023-10-13 - 01:52,stage3
318737,stage3,2023-10-05 - 10:44,stage4
318737,stage4,2023-09-13 - 12:22,Rejected
318737,stage1,2023-09-27 - 15:36,stage2
318737,stage2,2023-10-04 - 23:43,stage3
318737,stage3,2023-08-23 - 14:01,stage4
318737,stage4,2023-10-02 - 19:10,stage5
318737,stage5,2023-11-15 - 11:54,stage6
318737,stage6,2023-10-26 - 15:34,stage7
318737,stage7,2023-09-27 - 16:05,stage8
318796,stage1,2023-06-01 - 08:11,stage2
318796,stage2,2023-08-18 - 11:58,stage3
318796,stage3,2023-07-27 - 11:36,stage4
318796,stage4,2023-08-18 - 12:27,Rejected
318796,stage1,2023-10-08 - 08:16,stage2
318814,stage1,2023-06-07 - 08:17,stage2
318814,stage2,2023-07-03 - 14:12,stage3
318814,stage3,2023-07-24 - 11:33,stage4
318814,stage4,2023-08-17 - 12:26,Rejected
318814,stage1,2023-10-10 - 08:18,stage2
318814,stage2,2023-11-10 - 10:49,stage3
318824,stage1,2023-07-17 - 06:26,stage2
318824,stage2,2023-08-03 - 13:43,stage3
318824,stage3,2023-07-26 - 11:35,stage4
318824,stage4,2023-08-17 - 12:26,Rejected
318824,stage1,2023-08-23 - 18:32,stage2
318824,stage2,2023-08-24 - 18:33,Rejected
318824,stage1,2023-08-25 - 08:03,stage2
318824,stage2,2023-08-26 - 23:04,stage3
318824,stage3,2023-09-01 - 11:10,stage4
318861,stage1,2023-08-26 - 18:04,stage2
318861,stage2,2023-10-17 - 09:56,stage3
318861,stage3,2023-08-23 - 10:01,stage4
318861,stage4,2023-11-06 - 22:45,Rejected
318899,stage1,2023-11-16 - 10:55,stage2
318899,stage2,2023-10-27 - 11:35,stage3
318899,stage3,2023-11-03 - 13:42,stage4
318931,stage1,2023-07-31 - 16:40,stage2
318931,stage2,2023-08-17 - 11:57,stage3
318931,stage3,2023-08-05 - 08:45,Rejected
318931,stage1,2023-07-22 - 11:31,stage2
318931,stage2,2023-08-24 - 08:33,Rejected
318931,stage1,2023-09-12 - 08:52,stage2
318931,stage2,2023-08-24 - 21:02,Rejected
318931,stage1,2023-09-08 - 20:17,stage2
318931,stage2,2023-08-26 - 13:04,stage3
318931,stage3,2023-10-31 - 08:39,Rejected
318931,stage1,2023-10-21 - 12:29,stage2
318931,stage2,2023-10-26 - 12:34,Rejected
318931,stage1,2023-10-28 - 12:36,stage2
318931,stage2,2023-10-30 - 12:38,stage3
318931,stage3,2023-11-04 - 12:43,stage4
318931,stage4,2023-11-04 - 21:43,stage5
318931,stage5,2023-11-13 - 18:52,stage6
318931,stage6,2023-11-15 - 09:54,stage7
318931,stage7,2023-10-15 - 09:23,stage8
318944,stage1,2023-10-20 - 12:28,stage2
318944,stage2,2023-10-30 - 13:38,Rejected
318944,stage1,2023-10-25 - 14:33,stage2
318990,stage1,2023-09-26 - 10:04,stage2
318990,stage2,2023-10-11 - 11:19,Rejected
319012,stage1,2023-09-20 - 11:29,stage2
319012,stage2,2023-08-29 - 08:07,stage3
319012,stage3,2023-10-15 - 10:54,Rejected
319073,stage1,2023-10-06 - 10:45,stage2
319073,stage2,2023-09-09 - 11:18,stage3
319073,stage3,2023-11-10 - 12:49,stage4
319073,stage4,2023-11-08 - 00:47,stage5
319073,stage5,2023-11-13 - 11:52,stage6
319073,stage6,2023-11-09 - 11:48,stage7
319073,stage7,2023-10-25 - 16:33,stage8
319155,stage1,2023-06-08 - 08:18,stage2
319155,stage2,2023-09-18 - 08:58,Rejected
319155,stage1,2023-07-27 - 19:05,stage2
319155,stage2,2023-09-09 - 08:49,Rejected
319155,stage1,2023-08-31 - 16:09,stage2
319155,stage2,2023-11-06 - 10:45,Rejected
319155,stage1,2023-11-12 - 00:51,stage2
319162,stage1,2023-08-16 - 23:25,stage2
319162,stage2,2023-08-25 - 08:34,Rejected
319162,stage1,2023-10-10 - 11:18,stage2
319165,stage1,2023-08-31 - 21:09,stage2
319165,stage2,2023-10-10 - 11:49,Rejected
319165,stage1,2023-09-03 - 12:12,stage2
319165,stage2,2023-09-08 - 12:17,stage3
319165,stage3,2023-11-12 - 00:51,stage4
319165,stage4,2023-11-10 - 20:49,stage5
319165,stage5,2023-10-22 - 21:30,stage6
319239,stage1,2023-08-06 - 21:46,stage2
319239,stage2,2023-09-13 - 11:53,stage3
319239,stage3,2023-08-03 - 10:12,stage4
319239,stage4,2023-09-08 - 23:17,stage5
319239,stage5,2023-09-02 - 17:11,stage6
319239,stage6,2023-10-23 - 15:31,Rejected
319239,stage1,2023-10-12 - 22:20,stage2
319239,stage2,2023-10-14 - 11:22,stage3
319239,stage3,2023-11-09 - 11:48,stage4
319239,stage4,2023-10-26 - 21:34,stage5
319499,stage1,2023-06-18 - 13:28,stage2
319499,stage2,2023-06-20 - 13:30,stage3
319499,stage3,2023-06-27 - 17:37,stage4
319499,stage4,2023-06-14 - 15:24,Rejected
319499,stage1,2023-07-26 - 09:04,stage2
319499,stage2,2023-07-25 - 15:03,stage3
319499,stage3,2023-08-05 - 16:14,stage4
319499,stage4,2023-10-12 - 10:51,stage5
319499,stage5,2023-10-04 - 15:43,stage6
319499,stage6,2023-09-23 - 11:01,Rejected
319499,stage1,2023-10-23 - 11:31,stage2
319499,stage2,2023-10-25 - 11:33,stage3
319499,stage3,2023-11-05 - 11:44,stage4
319499,stage4,2023-10-28 - 12:36,stage5
319499,stage5,2023-10-05 - 13:13,stage6
319499,stage6,2023-10-19 - 13:27,stage7
319499,stage7,2023-11-05 - 15:44,stage8
319500,stage1,2023-08-24 - 12:02,stage2
319500,stage2,2023-09-27 - 11:05,Rejected
319500,stage1,2023-09-28 - 16:06,stage2
319500,stage2,2023-09-25 - 17:03,stage3
319500,stage3,2023-09-26 - 17:04,stage4
319520,stage1,2023-05-13 - 19:23,stage2
319520,stage2,2023-05-23 - 10:02,stage3
319520,stage3,2023-07-02 - 09:11,Rejected
319520,stage1,2023-08-19 - 16:28,stage2
319520,stage2,2023-09-18 - 08:58,Rejected
319520,stage1,2023-10-16 - 16:24,stage2
319520,stage2,2023-09-27 - 12:05,Rejected
319520,stage1,2023-10-19 - 12:27,stage2
319520,stage2,2023-10-31 - 12:39,Rejected
319665,stage1,2023-07-14 - 09:54,stage2
319665,stage2,2023-06-15 - 11:25,stage3
319665,stage3,2023-05-23 - 11:02,stage4
319665,stage4,2023-06-25 - 08:04,Rejected
319665,stage1,2023-09-11 - 07:51,stage2
319665,stage2,2023-08-29 - 21:38,stage3
319665,stage3,2023-09-04 - 16:44,stage4
319665,stage4,2023-08-27 - 22:05,stage5
319665,stage5,2023-10-03 - 16:42,stage6
319665,stage6,2023-10-05 - 12:13,Rejected
319665,stage1,2023-10-13 - 12:21,stage2
319665,stage2,2023-10-01 - 13:09,stage3
319665,stage3,2023-10-04 - 10:12,Rejected
319665,stage1,2023-11-07 - 09:46,stage2
319665,stage2,2023-10-29 - 11:37,stage3
319665,stage3,2023-11-12 - 09:51,Rejected
319665,stage1,2023-10-16 - 11:24,stage2
319665,stage2,2023-10-26 - 11:34,stage3
319665,stage3,2023-11-02 - 18:41,stage4
319665,stage4,2023-10-22 - 08:30,stage5
319665,stage5,2023-10-02 - 09:10,stage6
319705,stage1,2023-09-14 - 12:54,stage2
319705,stage2,2023-08-10 - 14:19,stage3
319705,stage3,2023-09-23 - 09:32,stage4
319712,stage1,2023-10-03 - 13:11,stage2
319712,stage2,2023-10-02 - 11:10,Rejected
319712,stage1,2023-10-31 - 11:39,stage2
319712,stage2,2023-11-04 - 13:43,stage3
319712,stage3,2023-10-08 - 15:16,stage4
319722,stage1,2023-07-08 - 13:17,stage2
319722,stage2,2023-07-24 - 08:02,Rejected
319722,stage1,2023-09-01 - 10:10,stage2
319722,stage2,2023-09-30 - 11:39,stage3
319722,stage3,2023-10-05 - 08:44,stage4
319722,stage4,2023-09-18 - 00:27,stage5
319722,stage5,2023-10-03 - 19:11,stage6
319722,stage6,2023-11-15 - 08:54,stage7
319722,stage7,2023-11-02 - 11:41,stage8
319724,stage1,2023-10-07 - 15:15,stage2
319724,stage2,2023-10-09 - 15:17,stage3
319724,stage3,2023-10-28 - 15:36,stage4
319918,stage1,2023-09-10 - 08:50,stage2
319918,stage2,2023-08-10 - 14:19,stage3
319918,stage3,2023-10-09 - 09:48,stage4
319918,stage1,2023-06-24 - 09:03,stage2
319918,stage2,2023-08-13 - 08:22,Rejected
320082,stage1,2023-07-18 - 11:58,stage2
320082,stage2,2023-05-21 - 12:00,Rejected
320082,stage1,2023-05-31 - 12:10,stage2
320082,stage2,2023-05-30 - 11:09,Rejected
320082,stage1,2023-06-08 - 11:18,stage2
320082,stage2,2023-07-18 - 11:58,stage3
320082,stage3,2023-06-25 - 09:35,stage4
320082,stage4,2023-06-25 - 08:04,Rejected
320082,stage1,2023-09-15 - 23:55,stage2
320082,stage2,2023-09-07 - 22:47,stage3
320082,stage3,2023-08-10 - 17:19,stage4
320082,stage4,2023-09-25 - 22:34,stage5
320082,stage5,2023-08-28 - 17:06,stage6
320082,stage6,2023-11-14 - 14:53,Rejected
320082,stage1,2023-10-03 - 12:11,stage2
320082,stage2,2023-10-01 - 13:09,stage3
320082,stage3,2023-10-04 - 10:12,Rejected
320082,stage1,2023-10-16 - 01:24,stage2
320082,stage2,2023-09-23 - 08:01,stage3
320082,stage3,2023-11-13 - 09:52,stage4
320082,stage4,2023-10-18 - 08:26,stage5
320082,stage5,2023-11-16 - 08:55,stage6
320405,stage1,2023-09-28 - 20:37,stage2
320405,stage2,2023-09-08 - 22:17,stage3
320405,stage3,2023-09-22 - 11:00,stage4
320446,stage1,2023-07-28 - 13:06,stage2
320446,stage2,2023-09-01 - 14:10,Rejected
320446,stage1,2023-08-27 - 09:05,stage2
320446,stage2,2023-10-06 - 08:45,Rejected
320446,stage1,2023-09-30 - 11:39,stage2
320446,stage2,2023-10-20 - 11:59,stage3
320446,stage3,2023-11-09 - 17:48,Rejected
320458,stage1,2023-06-13 - 12:23,stage2
320458,stage2,2023-05-30 - 13:09,stage3
320458,stage3,2023-07-02 - 13:42,stage4
320458,stage4,2023-06-10 - 14:20,Rejected
320458,stage1,2023-09-07 - 09:47,stage2
320458,stage2,2023-08-18 - 13:27,Rejected
320458,stage1,2023-09-08 - 15:48,stage2
320458,stage2,2023-09-03 - 16:43,stage3
320458,stage3,2023-08-28 - 18:37,stage4
320458,stage4,2023-09-28 - 20:37,stage5
320458,stage5,2023-09-03 - 16:12,stage6
320458,stage6,2023-10-21 - 11:29,Rejected
320458,stage1,2023-10-28 - 11:36,stage2
320458,stage2,2023-10-30 - 11:38,stage3
320458,stage3,2023-10-27 - 17:35,stage4
320458,stage4,2023-10-06 - 13:14,Rejected
320458,stage1,2023-10-02 - 12:10,stage2
320458,stage2,2023-10-03 - 12:11,stage3
320458,stage3,2023-10-17 - 07:25,stage4
320458,stage4,2023-11-09 - 08:48,stage5
320458,stage5,2023-11-17 - 12:56,stage6
320577,stage1,2023-05-28 - 13:07,stage2
320577,stage2,2023-06-27 - 08:37,stage3
320577,stage3,2023-11-16 - 20:55,Rejected
320577,stage1,2023-10-27 - 12:35,stage2
320577,stage2,2023-10-31 - 13:39,Rejected
320577,stage1,2023-10-14 - 14:22,stage2
320577,stage2,2023-09-23 - 15:01,Rejected
320577,stage1,2023-10-13 - 16:21,stage2
320577,stage2,2023-10-16 - 09:24,stage3
320577,stage3,2023-11-09 - 17:48,Rejected
320577,stage1,2023-12-13 - 08:52,stage2
321050,stage1,2023-06-13 - 12:23,stage2
321050,stage2,2023-06-26 - 12:36,stage3
321050,stage3,2023-06-03 - 09:13,stage4
321050,stage4,2023-08-17 - 07:57,Rejected
321050,stage1,2023-07-29 - 10:38,stage2
321050,stage2,2023-08-09 - 07:49,stage3
321050,stage3,2023-09-05 - 11:45,Rejected
321050,stage1,2023-10-18 - 06:57,stage2
321050,stage2,2023-10-20 - 09:59,stage3
321050,stage3,2023-10-02 - 10:41,stage4
321050,stage4,2023-10-01 - 11:40,stage5
321050,stage5,2023-10-25 - 19:33,stage6
321050,stage6,2023-10-08 - 11:16,stage7
321050,stage7,2023-10-06 - 15:14,Rejected
321081,stage1,2023-07-23 - 03:01,stage2
321081,stage2,2023-07-25 - 09:03,Rejected
321081,stage1,2023-09-09 - 14:49,stage2
321081,stage2,2023-08-26 - 14:04,stage3
321081,stage3,2023-09-28 - 14:06,Rejected
321081,stage1,2023-11-04 - 14:43,stage2
321081,stage2,2023-11-13 - 14:52,stage3
321081,stage3,2023-10-13 - 15:21,stage4
321084,stage1,2023-11-10 - 14:49,stage2
321084,stage2,2023-11-19 - 15:58,Rejected
321084,stage1,2023-09-24 - 23:02,stage2
321084,stage2,2023-09-28 - 12:06,stage3
321084,stage3,2023-11-10 - 14:49,stage4
321084,stage4,2023-10-07 - 21:15,stage5
321096,stage1,2023-10-29 - 10:37,stage2
321096,stage2,2023-11-07 - 10:46,stage3
321096,stage3,2023-10-14 - 14:22,stage4
321547,stage1,2023-07-06 - 13:46,stage2
321547,stage2,2023-05-28 - 08:07,Rejected
321547,stage1,2023-09-06 - 15:15,stage2
321547,stage2,2023-09-22 - 23:31,Rejected
321547,stage1,2023-06-20 - 14:30,stage2
321547,stage2,2023-05-28 - 08:07,Rejected
321547,stage1,2023-09-06 - 15:15,stage2
321547,stage2,2023-09-22 - 23:31,Rejected
321547,stage1,2023-09-15 - 21:24,stage2
321547,stage2,2023-09-14 - 22:23,stage3
321547,stage3,2023-11-12 - 09:51,stage4
321547,stage4,2023-11-04 - 20:43,stage5
321547,stage5,2023-11-16 - 20:55,stage6
321551,stage1,2023-07-01 - 13:41,stage2
321551,stage2,2023-05-29 - 08:08,Rejected
321551,stage1,2023-08-29 - 12:07,stage2
321551,stage2,2023-09-11 - 17:20,Rejected
321594,stage1,2023-09-12 - 09:21,stage2
321594,stage2,2023-09-22 - 14:31,stage3
321594,stage3,2023-11-12 - 09:51,stage4
321876,stage1,2023-05-23 - 12:02,stage2
321876,stage2,2023-05-28 - 13:07,stage3
321876,stage3,2023-06-02 - 13:12,stage4
321876,stage4,2023-06-13 - 15:23,Rejected
321876,stage1,2023-08-25 - 10:34,stage2
321876,stage2,2023-07-26 - 15:04,stage3
321876,stage3,2023-08-05 - 16:14,stage4
321876,stage4,2023-07-29 - 10:07,Rejected
322102,stage1,2023-09-24 - 07:02,stage2
322102,stage2,2023-10-27 - 08:35,stage3
322110,stage1,2023-09-27 - 13:36,stage2
322110,stage2,2023-09-20 - 22:29,stage3
322110,stage3,2023-11-07 - 10:46,stage4
322110,stage4,2023-10-20 - 11:28,stage5
322110,stage5,2023-10-19 - 23:27,stage6
322146,stage1,2023-09-09 - 09:18,stage2
322146,stage2,2023-10-20 - 10:28,Rejected
322166,stage1,2023-07-28 - 08:37,stage2
322166,stage2,2023-07-04 - 12:13,stage3
322166,stage3,2023-08-06 - 12:15,Rejected
322166,stage1,2023-08-21 - 19:30,stage2
322166,stage2,2023-09-02 - 06:42,stage3
322166,stage3,2023-09-22 - 07:31,Rejected
322166,stage1,2023-09-03 - 10:12,stage2
322166,stage2,2023-09-09 - 10:18,Rejected
322166,stage1,2023-09-29 - 11:38,stage2
322166,stage2,2023-10-07 - 11:46,stage3
322166,stage3,2023-09-15 - 10:24,Rejected
322166,stage1,2023-09-03 - 11:12,stage2
322166,stage2,2023-10-12 - 11:51,stage3
322166,stage3,2023-10-04 - 11:43,Rejected
322166,stage1,2023-09-23 - 10:32,stage2
322166,stage2,2023-10-16 - 10:55,stage3
322166,stage3,2023-09-01 - 21:10,stage4
322166,stage4,2023-09-25 - 10:03,stage5
322166,stage5,2023-11-05 - 13:44,stage6
322246,stage1,2023-08-26 - 17:04,stage2
322246,stage2,2023-09-20 - 22:29,stage3
322246,stage3,2023-10-04 - 11:12,Rejected
322246,stage1,2023-11-09 - 12:48,stage2
322246,stage2,2023-10-07 - 08:15,stage3
322246,stage3,2023-10-24 - 11:32,stage4
322285,stage1,2023-07-09 - 19:18,stage2
322285,stage2,2023-07-07 - 13:16,stage3
322285,stage3,2023-07-21 - 13:30,Rejected
322285,stage1,2023-07-30 - 08:39,stage2
322285,stage2,2023-10-18 - 10:57,Rejected
322300,stage1,2023-03-04 - 10:43,stage2
322300,stage2,2023-09-13 - 10:22,Rejected
322306,stage1,2023-08-24 - 11:02,stage2
322325,stage1,2023-09-06 - 11:15,stage2
322325,stage2,2023-09-27 - 11:36,stage3
322325,stage3,2023-09-29 - 11:38,stage4
322325,stage4,2023-11-03 - 19:42,stage5
322325,stage5,2023-10-23 - 14:31,stage6
322325,stage6,2023-10-29 - 16:37,stage7
322325,stage7,2023-10-17 - 16:25,stage8
322482,stage1,2023-11-06 - 07:45,stage2
322482,stage2,2023-10-10 - 08:18,Rejected
322486,stage1,2023-09-22 - 17:31,stage2
322486,stage2,2023-08-23 - 16:01,stage3
322486,stage3,2023-09-18 - 16:27,stage4
322486,stage4,2023-10-10 - 23:18,stage5
322486,stage5,2023-10-27 - 11:35,stage6
322486,stage6,2023-11-10 - 10:49,stage7
322487,stage1,2023-07-07 - 08:16,stage2
322487,stage2,2023-08-23 - 11:01,Rejected
322487,stage1,2023-08-27 - 07:05,stage2
322487,stage2,2023-10-05 - 10:44,Rejected
322487,stage1,2023-10-10 - 21:49,stage2
322487,stage2,2023-09-18 - 13:27,stage3
322487,stage3,2023-11-19 - 10:58,Rejected
322487,stage1,2023-09-29 - 11:07,stage2
322487,stage2,2023-10-02 - 11:10,stage3
322487,stage3,2023-10-31 - 11:39,stage4
322642,stage1,2023-10-09 - 15:48,stage2
322642,stage2,2023-09-16 - 16:25,stage3
322642,stage3,2023-09-19 - 16:28,stage4
322642,stage4,2023-09-22 - 16:31,stage5
322642,stage5,2023-11-19 - 18:58,stage6
322642,stage6,2023-11-19 - 08:58,Rejected
322672,stage1,2023-07-27 - 09:36,stage2
322672,stage2,2023-09-10 - 11:19,Rejected
322672,stage1,2023-10-13 - 09:52,stage2
322672,stage2,2023-10-03 - 10:42,Rejected
322672,stage1,2023-09-05 - 09:14,stage2
322672,stage2,2023-09-10 - 13:19,Rejected
322672,stage1,2023-10-01 - 14:40,stage2
322672,stage2,2023-10-06 - 14:45,stage3
322672,stage3,2023-09-23 - 13:01,Rejected
322672,stage1,2023-10-17 - 13:25,stage2
322672,stage2,2023-10-19 - 13:27,stage3
322672,stage3,2023-09-29 - 00:07,stage4
322905,stage1,2023-07-18 - 11:27,stage2
322905,stage2,2023-07-26 - 10:04,Rejected
322905,stage1,2023-10-16 - 14:55,stage2
322905,stage2,2023-08-22 - 10:00,Rejected
322905,stage1,2023-10-13 - 14:52,stage2
322905,stage2,2023-10-05 - 08:44,stage3
322905,stage3,2023-11-20 - 13:59,Rejected
322967,stage1,2023-10-12 - 18:20,stage2
322967,stage2,2023-11-04 - 14:43,stage3
322967,stage3,2023-10-19 - 15:27,stage4
323127,stage1,2023-09-02 - 09:42,stage2
323127,stage2,2023-07-23 - 13:01,Rejected
323127,stage1,2023-10-05 - 10:13,stage2
323127,stage2,2023-10-27 - 10:35,stage3
323203,stage1,2023-10-09 - 00:17,stage2
323315,stage1,2023-08-29 - 11:38,stage2
323315,stage2,2023-08-27 - 11:36,Rejected
323315,stage1,2023-07-22 - 12:00,stage2
323315,stage2,2023-09-05 - 12:45,Rejected
323315,stage1,2023-09-06 - 14:15,stage2
323315,stage2,2023-09-16 - 10:25,Rejected
323315,stage1,2023-09-28 - 23:37,stage2
323315,stage2,2023-09-23 - 00:32,stage3
323315,stage3,2023-08-25 - 01:03,stage4
323315,stage4,2023-11-10 - 23:49,stage5
323315,stage5,2023-10-06 - 17:14,stage6
323315,stage6,2023-10-15 - 08:23,stage7
323319,stage1,2023-07-02 - 07:42,stage2
323319,stage2,2023-07-06 - 09:46,stage3
323319,stage3,2023-06-17 - 14:27,Rejected
323319,stage1,2023-06-08 - 08:18,stage2
323319,stage2,2023-07-16 - 07:25,stage3
323319,stage3,2023-08-15 - 10:24,Rejected
323319,stage1,2023-08-24 - 10:33,stage2
323319,stage2,2023-10-19 - 14:58,stage3
323319,stage3,2023-09-18 - 11:27,Rejected
323319,stage1,2023-09-11 - 22:20,stage2
323319,stage2,2023-08-24 - 10:02,Rejected
323319,stage1,2023-09-26 - 11:35,stage2
323319,stage2,2023-10-03 - 11:42,stage3
323319,stage3,2023-08-29 - 13:07,Rejected
323319,stage1,2023-09-02 - 14:11,stage2
323319,stage2,2023-09-26 - 14:35,stage3
323319,stage3,2023-10-02 - 22:41,stage4
323319,stage4,2023-11-08 - 10:47,stage5
323591,stage1,2023-11-11 - 10:50,stage2
323591,stage2,2023-09-27 - 12:05,stage3
323592,stage1,2023-10-15 - 14:54,stage2
323592,stage2,2023-10-02 - 13:41,stage3
323592,stage3,2023-08-25 - 22:03,stage4
323594,stage1,2023-08-18 - 21:58,stage2
323594,stage2,2023-10-14 - 06:53,Rejected
323594,stage1,2023-10-08 - 09:47,stage2
323594,stage2,2023-09-23 - 13:32,stage3
323594,stage3,2023-10-07 - 20:46,stage4
323594,stage4,2023-10-01 - 08:40,stage5
323594,stage5,2023-10-13 - 19:21,stage6
323594,stage6,2023-10-08 - 09:16,stage7
323594,stage7,2023-10-18 - 15:26,stage8
323656,stage1,2023-08-28 - 13:06,stage2
323656,stage2,2023-09-24 - 07:33,stage3
323708,stage1,2023-10-20 - 10:59,stage2
323708,stage2,2023-08-22 - 11:00,stage3
323708,stage3,2023-10-12 - 11:51,Rejected
323708,stage1,2023-09-22 - 14:31,stage2
323708,stage2,2023-10-13 - 07:52,stage3
323708,stage3,2023-09-16 - 18:25,stage4
323708,stage4,2023-09-08 - 15:17,Rejected
323708,stage1,2023-11-06 - 12:45,stage2
323708,stage2,2023-11-13 - 12:52,stage3
323814,stage1,2023-07-27 - 10:05,stage2
323814,stage2,2023-09-01 - 08:41,Rejected
